step,wifi_1,wifi_2,wifi_3,wifi_4
1,-75,-60,-58,-70
2,-77,-63,-59,-65
3,-72,-58,-65,-81
4,-73,-66,-62,-75
5,-66,-61,-57,-70
6,-70,-63,-53,-69
7,-67,-65,-59,-77
8,-74,-59,-55,-69
9,-71,-54,-56,-70
10,-70,-57,-55,-65
11,-67,-62,-63,-66
12,-73,-57,-54,-65
13,-74,-65,-54,-70
14,-66,-60,-57,-69
15,-62,-57,-48,-74
16,-72,-61,-59,-72
17,-66,-57,-50,-67
18,-75,-60,-56,-68
19,-59,-62,-55,-73
20,-77,-61,-58,-61
21,-60,-66,-53,-67
22,-75,-64,-50,-68
23,-72,-60,-50,-67
24,-64,-58,-53,-71
25,-67,-59,-53,-71
26,-72,-63,-55,-70
27,-68,-56,-64,-63
28,-65,-64,-51,-63
29,-63,-62,-49,-67
30,-62,-63,-50,-61
31,-70,-62,-51,-63
32,-66,-66,-51,-70
33,-71,-61,-60,-71
34,-73,-64,-55,-60
35,-73,-61,-53,-61
36,-72,-64,-51,-64
37,-74,-75,-51,-59
38,-70,-63,-54,-69
39,-70,-67,-48,-61
40,-73,-66,-50,-70
41,-66,-68,-55,-60
42,-75,-67,-50,-60
43,-67,-66,-53,-55
44,-44,-73,-52,-62
45,-66,-76,-67,-52
46,-74,-64,-54,-53
47,-64,-72,-61,-43
48,-62,-75,-55,-46
49,-66,-67,-61,-40
50,-62,-69,-51,-43
51,-49,-75,-62,-57
52,-49,-68,-54,-49
53,-52,-69,-58,-50
54,-57,-73,-58,-57
55,-58,-69,-59,-38
56,-58,-75,-58,-40
57,-64,-67,-55,-29
58,-61,-72,-59,-39
59,-64,-72,-57,-35
60,-51,-67,-64,-40
61,-57,-67,-68,-58
62,-53,-73,-63,-50
63,-67,-69,-69,-51
64,-50,-71,-64,-59
65,-57,-72,-63,-57
66,-46,-70,-65,-54
67,-64,-69,-64,-69
68,-53,-64,-64,-79
69,-67,-76,-65,-62
70,-47,-69,-65,-51
71,-61,-75,-66,-61
72,-56,-66,-65,-66
73,-65,-77,-63,-57
74,-53,-79,-74,-63
75,-54,-77,-77,-63
76,-64,-67,-59,-58
77,-53,-70,-66,-69
78,-62,-69,-61,-74
79,-53,-72,-63,-73
80,-55,-75,-62,-66
